tag,category,count,insert_mode
"001 (darling in the franxx), darling in the franxx, 1girl, blue skin, single horn, blue horns, tail, blue eyes, very long hair, white hair, blunt bangs, small breasts, navel, tentacles",4,111,phrase
"00 gundam, gundam, no humans, blue eyes, green eyes, glowing eyes, mobile suit, v-fin, mecha",4,154,phrase
"00 qan[t], gundam, no humans, green eyes, blue eyes, mobile suit, mobile suit, v-fin, mecha musume, mecha",4,136,phrase
"00 raiser, gundam, no humans, green eyes, mobile suit, mobile suit, v-fin, mecha musume, mecha",4,79,phrase
"12.7cm twin gun mount, kantai collection",4,30,phrase
"12f (arknights), arknights, 1boy, furry male, tail, yellow eyes, black jacket, hooded jacket, long sleeves, lizard",4,32,phrase
"18-volt, warioware",4,54,phrase
"2003 server, os-tan",4,40,phrase
"210 (reverse:1999), reverse:1999",4,48,phrase
"25-ji kaito, project sekai, 1boy, blue eyes, hair between eyes, short hair, dark blue hair, blue hair, collared shirt, grey shirt, black shirt, long sleeves, neck ribbon, red ribbon, blue nails, nail polish, fingernails",4,82,phrase
"25-ji len, project sekai, 1boy, blue eyes, aqua eyes, blonde hair, short hair, spiked hair, short ponytail, long sleeves, neck ribbon",4,78,phrase
"25-ji luka, project sekai, 1girl, hand up, blue eyes, hair between eyes, purple eyes, pink hair, very long hair, long hair, hair ribbon, hairband, large breasts, frilled dress, red ribbon, bare shoulders, neck ribbon, nail polish, blue nails",4,62,phrase
"25-ji meiko, project sekai",4,51,phrase
"25-ji miku, project sekai, 1girl, heterochromia, blue eyes, pink eyes, aqua eyes, hair between eyes, purple eyes, grey hair, very long hair, white hair, twintails, hair ribbon, chest harness, white shirt, white dress, collared shirt, long sleeves, neck ribbon, red ribbon, white ribbon",4,490,phrase
"25-ji rin, project sekai, 1girl, blue eyes, aqua eyes, green eyes, blonde hair, short hair, swept bangs, hair bow, hairclip, white shirt, neck ribbon, detached sleeves, white bow, red ribbon, long sleeves, bare shoulders, frilled sleeves, yellow nails",4,110,phrase
"2b (nier:automata), nier (series), 1girl, mole under mouth, short hair, white hair, black hairband, medium breasts, large breasts, cleavage cutout, cleavage, ass, thighs, thigh boots, highleg leotard, black thighhighs, black dress, black gloves, juliet sleeves, black blindfold",4,9696,phrase
"2k-tan, os-tan, 1girl, blue eyes, glasses, blue hair, short hair",4,725,phrase
"2p (nier:automata), nier (series), 1girl, dark-skinned female, very dark skin, mole under mouth, lips, short hair, black hair, white hairband, large breasts, medium breasts, cleavage, cleavage cutout, thick thighs, ass, thighs, highleg leotard, juliet sleeves, blindfold, white blindfold",4,238,phrase
"3.1-tan, os-tan, 1girl, loli, red eyes, long hair, purple hair, grey hair, blunt bangs, hair bow, flat chest",4,522,phrase
"35p (sakura miko), hololive, 1girl, green eyes, hair between eyes, pink hair, long hair, ahoge, hairclip, large breasts, medium breasts, long sleeves, virtual youtuber, virtual youtuber",4,800,phrase
"37 (naisnow) (reverse:1999), reverse:1999, 1girl",4,29,phrase
"37 (reverse:1999), reverse:1999, 1girl, hand up, blue eyes, hair between eyes, blue hair, very long hair, greco-roman clothes, ancient greek clothes, greco-roman clothes, ancient greek clothes, white dress, gold choker, bare shoulders, toga, toga, armlet",4,478,phrase
"45 (mdf an), original",4,36,phrase
"5-volt, warioware, 1girl, brown eyes, brown hair, short hair, hairclip, yellow apron, red hoodie, long sleeves",4,90,phrase
"5pb (neptunia), neptune (series), 1girl, purple eyes, pink eyes, mole under eye, blue hair, long hair, very long hair, medium breasts, navel, tattoo, headphones, bare shoulders",4,49,phrase
"61cm quadruple (oxygen) torpedo mount, kantai collection",4,54,phrase
"61cm quadruple torpedo mount, kantai collection",4,92,phrase
"61cm triple torpedo mount, kantai collection",4,31,phrase
"621 (armored core 6), armored core, 1girl, dark-skinned female, red eyes, yellow eyes, ringed eyes, hair over one eye, white hair, short hair, grey hair, small breasts, freckles",4,117,phrase
"66 (roro), vocaloid, 1boy, yellow eyes, pink hair, white jacket, hoodie, katana, android, sheathed, beanie, heart",4,36,phrase
"6 (reverse:1999), reverse:1999, 1boy, blue eyes, colored eyelashes, hair over one eye, blonde hair, long hair, greco-roman clothes, ancient greek clothes, white robe, greco-roman clothes, ancient greek clothes, white robe, long sleeves, circlet, logo",4,158,phrase
"6p62 (girls' frontline), girls' frontline, 1girl, blue eyes, hair between eyes, red hair, long hair, breasts, garrison cap, high heels",4,60,phrase
"7-tan, os-tan, 1girl, blue eyes, blue hair, short hair, hairband",4,116,phrase
"8-foot joe, disneyland, 1boy, pale skin, streaked hair, purple hair, suit, suit, dress shirt, black jacket, blue shirt, long sleeves, purple bowtie, bowtie, formal, tentacles, formal",4,45,phrase
"88 (vashperado), original, 1girl, black hair, long hair, red hair, t-shirt, short shorts, elbow pads, sneakers, dog tags",4,30,phrase
"88 flak (ash arms), ash arms, 1girl, yellow eyes, green eyes, hair between eyes, grey hair, long hair, very long hair, two side up, black headwear, long sleeves",4,53,phrase
"9-volt, warioware",4,66,phrase
"95-tan, os-tan, 1girl, brown eyes, long hair, brown hair, half updo",4,356,phrase
"96neko, indie utaite, 1girl, red eyes, blonde hair, utaite, utaite",4,54,phrase
"98-tan, os-tan, 1girl, blue eyes, short hair, blue hair, number hair ornament, bob cut, elbow gloves",4,329,phrase
"98se-tan, os-tan, 1girl, blue eyes, short hair, blue hair, hair bobbles",4,257,phrase
"9a-91 (bullets cafe) (girls' frontline), girls' frontline, 1girl, maid, maid headdress, maid, blue eyes, hair between eyes, white hair, very long hair, grey hair, long hair, ponytail, sidelocks, hairclip, medium breasts, cleavage, apron, white thighhighs, black footwear, knee boots, lace-up boots, waist apron, juliet sleeves, frills, garter straps",4,60,phrase
"9a-91 (girls' frontline), girls' frontline, 1girl, blue eyes, hair between eyes, white hair, very long hair, grey hair, long hair, star hair ornament, sidelocks, medium breasts, navel, red scarf, black panties, beret",4,719,phrase
"9s (nier:automata), nier (series), 1boy, white hair, short hair, black gloves, black choker, long sleeves, black blindfold",4,2102,phrase
"<key> (blue archive), blue archive",4,584,phrase
"<key> (robot) (blue archive), blue archive",4,428,phrase
"a'gen (the legend of luoxiaohei), luo xiaohei zhanji",4,43,phrase
"a-37, mahjong soul, 1boy, dark-skinned male, tan, yellow eyes, hair between eyes, white hair, short hair, arm tattoo, black shirt, black pants, black jacket, fingerless gloves, black gloves, cross necklace",4,33,phrase
"a-545 (girls' frontline), girls' frontline, 1girl, holding gun, blue eyes, aqua eyes, blonde hair, very long hair, long hair, twintails, braided bangs, medium breasts, cleavage, thighs, black footwear, black gloves, bare shoulders, assault rifle",4,44,phrase
"a-91 (girls' frontline), girls' frontline, 1girl, yellow eyes, hair between eyes, mole under eye, blonde hair, very long hair, gradient hair, purple hair, large breasts, leather suit, black bodysuit, fingerless gloves, leather pants, elbow gloves, assault rifle, underbarrel grenade launcher, one side up, flask",4,49,phrase
"a-chan (1st costume) (hololive), hololive, 1girl, blue eyes, glasses, black-framed eyewear, blue hair, short hair, purple hair, hair bow, small breasts, collarbone, black shirt, t-shirt, blue bow, virtual youtuber, virtual youtuber, jeans",4,53,phrase
"a-chan (2nd costume) (hololive), hololive, 1girl, office lady, office lady, blue eyes, glasses, black-framed eyewear, blue hair, short hair, swept bangs, hair bow, flat chest, collarbone, black jacket, vertical-striped shirt, open jacket, striped clothes, blue bow, virtual youtuber, virtual youtuber, lanyard, id card",4,87,phrase
"a-chan (hololive), hololive, 1girl, blue eyes, glasses, black-framed eyewear, short hair, blue hair, purple hair, swept bangs, hair bow, small breasts, collarbone, black shirt, blue bow, virtual youtuber, virtual youtuber",4,808,phrase
"a-chan senpai, little busters!, 1girl, blue eyes, hair between eyes, eyelashes, very long hair, brown hair, wavy hair, red hair, purple hair, long hair, sidelocks, large breasts, thighs, little busters! school uniform, school uniform, white shirt",4,89,phrase
"a-cing (zenless zone zero), zenless_zone_zero, 1girl",4,19,phrase
"a-ya (shuuen no shiori), shuuen no shiori project",4,33,phrase
"a-yuet (zenless zone zero), zenless_zone_zero, 1girl",4,19,phrase
"a.b.a, guilty gear, 1girl, stitched mouth, bags under eyes, green eyes, hair over one eye, short hair, red hair, long hair, green hair, bandages, fingerless gloves, object through head, key, chain",4,363,phrase
"a.j. (pokemon), pokemon",4,31,phrase
"a.k.i. (street fighter), street fighter, 1girl, pale skin, red lips, mole under mouth, red eyes, hair over one eye, short hair, white hair, grey hair, china dress, chinese clothes, tassel earrings, claw (weapon), claw ring",4,201,phrase
"a106, atom: the beginning",4,61,phrase
"a2 (nier:automata), nier (series), 1girl, mole under mouth, lips, blue eyes, hair between eyes, hair over one eye, white hair, long hair, medium breasts, elbow gloves, black gloves, black thighhighs, black shorts, short shorts, bare shoulders, android, robot joints, tank top, armlet",4,1190,phrase
"a (kyousougiga), kyousougiga",4,40,phrase
"a (naraka), nijisanji, 1girl, horns, virtual_youtuber, red_eyes, pointy_ears, long_hair, hair_ornament, mask, grey_hair, very_long_hair, long_sleeves, mask_on_head, white_hair, solo, pantyhose",4,60,phrase
"a (naruto), naruto (series)",4,59,phrase
"a (shiei no sona-nyl), shiei no sona-nyl",4,39,phrase
"a (show by rock!!), show by rock!!, 1girl, fox girl, fox ears, fox tail, animal ear fluff, yellow eyes, thick eyebrows, long hair, brown hair, ponytail, high ponytail, hair stick, hair ribbon, obi, shamisen",4,54,phrase
"a (xenoblade), xenoblade chronicles (series), 1girl, blue eyes, hair between eyes, messy hair, grey hair, long hair, very long hair, white hair, hair intakes, small breasts, armor, cape, single earring",4,137,phrase
"a knight (reverse:1999), reverse:1999, 1boy, armor, ornate armor, armor, blue cape, invisible, gauntlets",4,66,phrase
"aa-12 (girls' frontline), girls' frontline, 1girl, blue eyes, bags under eyes, long hair, grey hair, star hair ornament, ahoge, medium breasts, cleavage, black headwear",4,502,phrase
"aa-12 (smokeless lollipop) (girls' frontline), girls' frontline, 1girl, bags under eyes, blue eyes, long hair, cone hair bun, grey hair, double bun, ahoge, hairclip, medium breasts, barefoot, collarbone, white shirt, black bikini, black bra, off-shoulder shirt, side-tie bikini bottom, purple choker, nail polish, black nails, star earrings",4,63,phrase
"aa-12 (the sun never rises) (girls' frontline), girls' frontline, 1girl, blue eyes, bags under eyes, goggles on head, long hair, grey hair, white hair, ahoge, sidelocks, medium breasts, cleavage, thighs, ass, barefoot, sweat, side-tie bikini bottom, white bikini, bare shoulders, shotgun, knee pads, aa-12",4,42,phrase
"aa-2153, hataraku saibou",4,36,phrase
"aachin (splatoon), splatoon (series)",4,48,phrase
"aak (arknights), arknights, 1boy, furry male, cat boy, cat ears, ear piercing, tail, animal ears, yellow eyes, slit pupils, hair over one eye, black hair, short hair, chinese clothes, black nails, yellow sclera",4,376,phrase
"aalto (wuthering waves), wuthering waves",4,38,phrase
"aang, avatar legends, 1boy, tattoo, bald, monk",4,195,phrase
"aardwolf (kemono friends), kemono friends, 1girl, animal ears, tail, extra ears, hair between eyes, black eyes, black hair, two-tone hair, long hair, white hair, grey hair, ponytail, high ponytail, elbow gloves, sleeveless shirt, print gloves, print shirt, short shorts, collared shirt, pantyhose, bare shoulders, black necktie",4,335,phrase
"aaron (pokemon), pokemon",4,90,phrase
"aaron gruber (o natsuo88), original, 1boy, mature male, wrinkled skin, mustache, thick mustache, beard stubble, mustache stubble, beard, thick eyebrows, grey hair, short hair, arm hair, chest hair, navel hair, scar on cheek, shirt, old man, bara, stubble, muscular male, large pectorals, abs, hairy",4,61,phrase
